Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,Median Value 18,Value Increase Index(17-18)
513,11026,34933,89,4509,34694,28052,13010,2247,254,2247,515800.0,88900,181,8779,11026,74700,0.0
390,3976,11297,28,1630,11292,9308,5332,938,28,938,167100.0,91000,0,3038,3976,83700,0.0
429,7132,21661,0,3709,21632,17006,8726,1778,102,1778,280600.0,76600,140,5354,7132,81600,1.0
372,53341,148863,182,25077,146078,120893,66368,18695,1590,18695,4676400.0,98600,1578,34646,53341,89500,0.0
395,14278,38970,35,5790,38822,31785,17733,5330,246,5330,1036000.0,99900,351,8948,14278,89300,0.0
626,22205,74169,331,13811,74019,59855,25828,3696,408,3696,1563000.0,142800,546,18509,22205,99700,0.0
568,27802,81905,817,16097,81704,66674,34589,7327,800,7327,2419700.0,131000,973,20475,27802,62300,0.0
639,2555,8931,0,1188,8931,7136,5101,556,232,556,190500.0,108100,195,1999,2555,80900,0.0
428,11989,35025,0,4817,34966,28515,14742,3394,26,3394,651500.0,87800,56,8595,11989,108000,1.0
380,12824,39470,30,6103,39421,32605,17385,3252,342,3252,664400.0,87500,234,9572,12824,52300,0.0
536,49386,134269,619,28618,133655,109743,58048,15657,1825,15657,6255900.0,133300,1586,33729,49386,94700,0.0
512,14603,46779,212,8153,46662,37265,17906,3347,234,3347,801200.0,115900,359,11256,14603,170400,1.0
521,12998,41181,159,6732,41064,33252,15950,3828,331,3828,1010900.0,117500,458,9170,12998,131300,1.0
457,13783,39796,0,7297,39758,32190,16462,3276,280,3276,1206200.0,88300,287,10507,13783,91400,0.0
694,12029,37722,46,6879,37634,30129,15750,2748,362,2748,1259500.0,143300,419,9281,12029,63500,0.0
484,6636,18952,63,3507,18843,15488,10462,1959,142,1959,633800.0,109200,294,4677,6636,95400,0.0
417,9109,29237,48,3701,29133,23070,10884,2067,212,2067,631300.0,90600,435,7042,9109,117800,1.0
367,6797,21906,42,2586,21814,17660,8528,2130,149,2130,293900.0,89300,99,4667,6797,118600,1.0
483,13670,38689,232,7031,38629,31537,16387,3257,214,3257,990000.0,111000,635,10413,13670,79700,0.0
416,9255,27892,20,4651,27814,23099,12557,2048,412,2048,427200.0,91200,229,7207,9255,71200,0.0
473,4532,12238,20,2136,12228,10048,7448,1153,229,1153,335500.0,94000,95,3379,4532,80000,0.0
372,5949,17325,11,2269,17307,14060,7335,1990,30,1990,292200.0,93400,60,3959,5949,161100,1.0
386,6075,19914,76,2582,19914,16082,7537,2251,266,2251,430900.0,87800,151,3824,6075,128600,1.0
479,15230,43314,65,6744,43044,35660,20354,5556,472,5556,1542700.0,103100,486,9674,15230,78500,0.0
384,4818,15297,0,2193,15044,12311,6189,1799,162,1799,393100.0,90700,69,3019,4818,60800,0.0
397,10051,27321,14,4289,27107,22516,12228,4382,116,4382,686100.0,86400,129,5669,10051,81400,0.0
517,12534,38253,0,6122,38212,30972,15619,3207,248,3207,909200.0,115600,225,9327,12534,160000,1.0
553,15938,51768,244,9256,50995,42587,22981,3775,271,3775,1303200.0,114300,393,12163,15938,117800,0.0
459,145321,355181,9099,77329,351733,295774,191901,67050,9238,67050,27780000.0,158000,4903,78271,145321,93200,0.0
498,12529,38589,269,5973,37769,30865,16090,3846,233,3846,1122600.0,118500,247,8683,12529,77400,0.0
511,17746,54754,120,8174,54577,44583,24648,2893,218,2893,858300.0,115100,475,14853,17746,83100,0.0
284,1914,6180,0,1034,6180,5055,2623,500,8,500,57700.0,92900,25,1414,1914,66000,0.0
443,8573,24008,11,3843,23970,19648,9945,1703,67,1703,605100.0,109300,318,6870,8573,97900,0.0
342,6575,19578,0,2809,19509,15709,8278,1998,184,1998,238400.0,82100,140,4577,6575,109800,1.0
407,12627,39704,0,6640,39645,31820,15538,3700,140,3700,903700.0,112800,315,8927,12627,115200,0.0
417,8059,23893,23,3184,23846,19876,12094,3493,155,3493,360400.0,91400,123,4566,8059,83000,0.0
464,7568,23610,23,3072,23499,19377,10767,1891,155,1891,370400.0,95800,1157,5677,7568,95000,0.0
370,6166,18525,0,2500,18473,14895,7705,2802,110,2802,531200.0,81700,60,3364,6166,61800,0.0
419,11571,32936,12,5566,32852,26986,14148,3542,227,3542,700700.0,108300,352,8029,11571,83100,0.0
410,5528,17327,0,1964,17308,14035,9347,1445,292,1445,192000.0,87700,1091,4083,5528,120700,1.0
393,6271,16474,113,2852,16454,13750,7669,1625,251,1625,488900.0,104700,145,4646,6271,144400,1.0
474,15703,40705,40,7361,40567,33036,18742,4121,946,4121,1267700.0,106600,652,11582,15703,188600,1.0
430,8346,26584,22,3848,26547,21199,11570,1728,281,1728,432400.0,91900,263,6618,8346,57500,0.0
478,8696,29112,36,4265,29060,23583,10634,1841,210,1841,434400.0,94500,58,6855,8696,131800,1.0
