Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id,Neighborhood Name,RegionID,Value Increase Index(17-18),Value Increase Index(18-19)
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Southeast Boise,269548,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,West Valley,269563,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Southwest Ada County,275499,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,West Bench,269559,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Vista,269555,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,North End,269539,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Collister,269525,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Depot Bench,269526,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Borah,276338,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,East End,269529,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Winstead Park,269565,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Veterans Park,269554,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Central Bench,269523,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Hillcrest,136485,1.0,1.0
"Ada County, Idaho",950,168741,446052,880,128760,438804,350351,176693,53372,2261,53372,51597300,242300,2431,115369,168741,16,001,Highlands,136483,1.0,1.0
