Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id,regionid
NAME,B25031_001E,B19001_001E,B01003_001E,B08141_016E,B19052_002E,C27021_001E,B23025_001E,B25041_001E,B25056_001E,B25061_001E,B25063_001E,B25065_001E,B25077_001E,B25085_001E,B25094_001E,B25104_001E,state,county,tract
"Census Tract 100.01, Bibb County, Alabama",801,915,2643,0,627,2622,2109,1241,165,0,165,97400,112000,0,750,915,01,007,010001
"Census Tract 100.02, Bibb County, Alabama",768,1981,6201,7,1269,6173,4726,2534,517,10,517,396600,99500,63,1464,1981,01,007,010002
"Census Tract 100.03, Bibb County, Alabama",771,1729,5032,21,1249,5032,4007,2345,182,0,182,119700,121800,38,1547,1729,01,007,010003
"Census Tract 100.04, Bibb County, Alabama",623,2291,8704,25,1462,6726,7573,2992,840,79,840,445400,89900,0,1451,2291,01,007,010004
"Census Tract 2319, Macon County, Alabama",630,634,1348,0,435,1348,1041,1024,327,88,327,183400,80100,38,307,634,01,087,231900
"Census Tract 2316.03, Macon County, Alabama",482,525,1120,0,375,1120,959,701,75,36,75,32100,69100,13,450,525,01,087,231603
"Census Tract 2316.01, Macon County, Alabama",524,507,938,0,298,930,889,666,130,10,130,33200,106000,0,377,507,01,087,231601
"Census Tract 2316.02, Macon County, Alabama",398,757,1528,0,461,1501,1200,842,419,8,419,157200,76600,14,338,757,01,087,231602
"Census Tract 2317, Macon County, Alabama",610,191,2538,0,146,2468,2501,357,160,78,160,90500,86100,0,31,191,01,087,231700
"Census Tract 2315, Macon County, Alabama",490,1345,2890,0,919,2890,2473,1609,287,41,287,119700,70200,16,1058,1345,01,087,231500
"Census Tract 2322, Macon County, Alabama",681,901,2288,0,489,2288,1834,1046,203,0,203,160500,84900,9,698,901,01,087,232200
"Census Tract 2321, Macon County, Alabama",708,633,1268,3,449,1268,1051,1013,308,73,308,187600,75600,34,325,633,01,087,232100
"Census Tract 2320, Macon County, Alabama",701,582,1666,34,391,1605,1276,828,357,19,357,200700,59000,32,225,582,01,087,232000
"Census Tract 2318, Macon County, Alabama",460,498,950,0,227,950,780,625,224,18,224,76900,67200,0,274,498,01,087,231800
"Census Tract 2314, Macon County, Alabama",588,604,1375,34,331,1375,1092,697,162,0,162,49100,68400,8,442,604,01,087,231400
"Census Tract 2323, Macon County, Alabama",629,675,1449,0,380,1398,1209,856,121,11,121,55300,83000,0,554,675,01,087,232300
"Census Tract 208.01, Autauga County, Alabama",744,1035,2913,0,803,2886,2261,1185,168,12,168,137000,299100,38,867,1035,01,001,020801
"Census Tract 208.02, Autauga County, Alabama",944,4094,11333,0,3143,11211,8600,4315,613,0,613,524000,163200,49,3481,4094,01,001,020802
"Census Tract 6871, Perry County, Alabama",508,1123,2938,0,456,2938,2047,1872,417,27,417,132600,55400,15,706,1123,01,105,687100
"Census Tract 6868, Perry County, Alabama",736,436,1041,0,218,1041,869,657,65,0,65,17300,60700,0,371,436,01,105,686800
"Census Tract 7810, Lowndes County, Alabama",683,1118,2466,0,567,2466,1908,1433,209,14,209,47700,65700,20,909,1118,01,085,781000
"Census Tract 6870, Perry County, Alabama",-666666666,1480,5701,0,687,5553,4885,2219,270,44,270,67200,78300,201,1210,1480,01,105,687000
"Census Tract 209.01, Colbert County, Alabama",679,1625,4234,10,1092,4234,3440,1963,270,47,270,161400,86200,22,1355,1625,01,033,020901
"Census Tract 7811, Lowndes County, Alabama",616,689,1538,9,392,1538,1220,830,295,0,295,111300,62200,11,394,689,01,085,781100
"Census Tract 7812, Lowndes County, Alabama",512,1123,2784,0,771,2784,2081,1387,253,42,253,87100,59500,16,870,1123,01,085,781200
"Census Tract 7808, Lowndes County, Alabama",637,1379,3574,6,789,3480,2942,1508,389,0,389,146100,60900,21,990,1379,01,085,780800
"Census Tract 309.03, Marshall County, Alabama",611,2049,5740,32,1349,5635,4445,2170,1082,48,1082,656700,97500,4,967,2049,01,095,030903
"Census Tract 307.01, Marshall County, Alabama",576,1439,3541,22,885,3541,2635,1742,542,25,542,318200,129400,66,897,1439,01,095,030701
"Census Tract 309.04, Marshall County, Alabama",770,1994,5657,0,1273,5657,4344,2138,541,0,541,321700,98100,5,1453,1994,01,095,030904
"Census Tract 304.01, Marshall County, Alabama",551,1793,4505,7,1143,4474,3736,2050,462,20,462,240800,130800,23,1331,1793,01,095,030401
"Census Tract 304.02, Marshall County, Alabama",701,1217,3430,2,896,3430,2710,1421,169,6,169,103500,152000,9,1048,1217,01,095,030402
"Census Tract 307.02, Marshall County, Alabama",635,1505,3654,0,992,3582,3021,1830,505,12,505,290400,110500,31,1000,1505,01,095,030702
"Census Tract 102.02, Talladega County, Alabama",836,1608,4023,0,1114,4023,3401,2236,303,114,303,257700,126700,28,1305,1608,01,121,010202
"Census Tract 103.02, Talladega County, Alabama",794,2049,4819,0,1401,4812,4063,2608,284,0,284,181700,95000,46,1765,2049,01,121,010302
"Census Tract 441, Washington County, Alabama",471,1282,3426,0,737,3426,2765,1576,235,0,235,71900,110300,4,1047,1282,01,129,044100
"Census Tract 439, Washington County, Alabama",-666666666,988,2611,0,599,2611,2204,1365,124,27,124,43800,54200,0,864,988,01,129,043900
"Census Tract 442, Washington County, Alabama",679,1563,5046,0,1036,5046,3883,2267,314,41,314,75900,100700,5,1249,1563,01,129,044200
"Census Tract 443, Washington County, Alabama",735,817,2103,0,520,2103,1722,1191,164,0,164,101500,68300,0,653,817,01,129,044300
"Census Tract 440, Washington County, Alabama",563,1351,3560,0,852,3435,2981,2082,218,42,218,89000,75700,8,1133,1351,01,129,044000
"Census Tract 409.02, Lee County, Alabama",790,2437,5948,42,1812,5948,5356,2766,1805,117,1805,1719800,148300,90,632,2437,01,081,040902
"Census Tract 9626, Tallapoosa County, Alabama",341,737,1794,0,427,1784,1482,1009,203,20,203,63400,55800,20,534,737,01,123,962600
"Census Tract 9900, Mobile County, Alabama",-666666666,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,01,097,990000
"Census Tract 9625.02, Tallapoosa County, Alabama",757,1354,2820,11,816,2820,2534,3393,107,31,107,67300,221000,87,1247,1354,01,123,962502
"Census Tract 9627, Tallapoosa County, Alabama",612,2267,6123,0,1481,6123,4856,2858,610,74,610,364300,78700,153,1657,2267,01,123,962700
"Census Tract 9621, Tallapoosa County, Alabama",508,1670,4297,0,945,4236,3249,1820,728,35,728,344600,78900,89,942,1670,01,123,962100
"Census Tract 75, Mobile County, Alabama",778,484,1343,6,263,1343,1040,699,192,15,192,86800,49800,26,292,484,01,097,007500
"Census Tract 67.01, Mobile County, Alabama",886,2284,6086,15,1558,6086,5002,2623,310,75,310,236400,103600,130,1974,2284,01,097,006701
"Census Tract 74, Mobile County, Alabama",872,1407,3304,0,1096,3304,2618,1594,542,66,542,445400,88600,0,865,1407,01,097,007400
"Census Tract 76, Mobile County, Alabama",694,765,1967,0,465,1967,1525,1093,334,54,334,156000,57100,0,431,765,01,097,007600
"Census Tract 77, Mobile County, Alabama",822,532,1264,8,239,1264,1034,759,209,44,209,116000,43500,13,323,532,01,097,007700
"Census Tract 72.01, Mobile County, Alabama",868,957,2688,0,672,2688,2286,1055,182,26,182,151500,140700,0,775,957,01,097,007201
"Census Tract 72.02, Mobile County, Alabama",1039,1058,2641,0,702,2641,2249,2671,147,132,147,111600,182700,23,911,1058,01,097,007202
"Census Tract 64.06, Mobile County, Alabama",1438,2947,8651,22,2515,8554,6403,3044,304,0,304,442200,187200,97,2643,2947,01,097,006406
"Census Tract 64.07, Mobile County, Alabama",1069,2108,5980,0,1547,5923,4662,2416,165,48,165,179200,174100,49,1943,2108,01,097,006407
"Census Tract 67.02, Mobile County, Alabama",729,1286,3598,0,831,3598,2851,1561,255,103,255,154400,87800,0,1031,1286,01,097,006702
"Census Tract 65.01, Mobile County, Alabama",756,1864,5248,0,1400,5237,4365,1980,218,12,218,141700,123600,13,1646,1864,01,097,006501
"Census Tract 65.02, Mobile County, Alabama",1210,4233,13269,0,3282,13210,9831,4619,354,76,354,336000,140000,68,3879,4233,01,097,006502
"Census Tract 9655.02, Winston County, Alabama",440,1137,2514,0,594,2514,2252,2162,174,0,174,46800,157700,50,963,1137,01,133,965502
"Census Tract 9659, Winston County, Alabama",486,851,2193,2,543,2193,1758,1058,162,17,162,55400,65200,3,689,851,01,133,965900
"Census Tract 9655.03, Winston County, Alabama",727,1072,2797,0,597,2787,2388,2025,107,0,107,19200,114100,55,965,1072,01,133,965503
"Census Tract 9655.01, Winston County, Alabama",397,1004,2516,0,685,2516,2046,1180,200,0,200,51100,84200,4,804,1004,01,133,965501
"Census Tract 9658, Winston County, Alabama",486,1829,4674,0,1104,4634,3623,2204,548,21,548,257800,62400,0,1281,1829,01,133,965800
"Census Tract 9657, Winston County, Alabama",674,1644,4111,0,1040,4010,3239,2041,538,37,538,279700,112400,33,1106,1644,01,133,965700
"Census Tract 9656, Winston County, Alabama",464,1902,5163,0,1135,4992,4277,2924,415,10,415,85800,67800,58,1487,1902,01,133,965600
"Census Tract 304.01, Russell County, Alabama",901,2379,6263,0,2003,6004,4907,2700,1434,179,1434,1311900,133400,54,945,2379,01,113,030401
"Census Tract 304.02, Russell County, Alabama",787,1303,3188,11,960,3136,2505,1538,327,106,327,253800,137500,0,976,1303,01,113,030402
"Census Tract 111.02, Lauderdale County, Alabama",608,2016,4260,0,1428,4244,3469,2347,715,209,715,433200,143100,50,1301,2016,01,077,011102
