Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id
NAME,B25031_001E,B19001_001E,B01003_001E,B08141_016E,B19052_002E,C27021_001E,B23025_001E,B25041_001E,B25056_001E,B25061_001E,B25063_001E,B25065_001E,B25077_001E,B25085_001E,B25094_001E,B25104_001E,state,county
"Washington County, Mississippi",684,18299,47086,6,11957,46637,36109,21591,8411,796,8411,4928500,74700,274,9888,18299,28,151
"Perry County, Mississippi",622,4563,12028,0,2968,11920,9508,5620,759,37,759,391700,83700,20,3804,4563,28,111
"Choctaw County, Mississippi",540,3164,8321,0,1720,8195,6718,4200,747,41,747,278400,81600,108,2417,3164,28,019
"Itawamba County, Mississippi",665,8706,23480,17,5717,23252,18949,10289,1932,154,1932,1071100,89500,73,6774,8706,28,057
"Carroll County, Mississippi",475,3658,10129,0,2142,9963,8404,5154,703,99,703,214100,89300,94,2955,3658,28,015
"Grenada County, Mississippi",647,8224,21278,23,5455,20929,16882,10240,2746,916,2746,1589200,99700,41,5478,8224,28,043
"Jefferson County, Mississippi",423,2530,7346,0,1420,6874,5830,3744,841,114,841,198600,62300,32,1689,2530,28,063
"Greene County, Mississippi",661,4172,13714,0,2870,10208,11370,5216,634,63,634,371800,80900,44,3538,4172,28,041
"Marshall County, Mississippi",692,13074,35787,64,9028,34431,28759,15474,3141,392,3141,1804500,108000,1196,9933,13074,28,093
"Quitman County, Mississippi",566,3055,7372,0,1684,7201,5828,3595,1283,85,1283,492600,52300,50,1772,3055,28,119
"Bolivar County, Mississippi",635,12159,32592,14,7232,31910,25348,14362,5572,308,5572,3241200,94700,176,6587,12159,28,011
"Lamar County, Mississippi",920,22213,61223,25,16813,60529,47528,24580,6837,862,6837,5623200,170400,154,15376,22213,28,073
"Lee County, Mississippi",738,32267,84915,94,23687,83971,65439,36678,10875,1185,10875,7703000,131300,403,21392,32267,28,081
"Pike County, Mississippi",672,14676,39737,55,8795,39093,30553,18266,4809,561,4809,2775900,91400,755,9867,14676,28,113
"Tallahatchie County, Mississippi",504,4253,14361,0,2431,11041,11853,5596,1108,127,1108,409700,63500,61,3145,4253,28,135
"Smith County, Mississippi",572,5872,16063,50,3851,15975,12593,7370,1000,68,1000,483400,95400,51,4872,5872,28,129
"Stone County, Mississippi",686,6135,18375,19,3985,17761,14884,7413,1453,112,1453,899500,117800,93,4682,6135,28,131
"Warren County, Mississippi",703,18766,47075,27,12521,46555,36835,22018,6678,829,6678,4299200,118600,274,12088,18766,28,149
"Clarke County, Mississippi",625,6258,15928,0,3903,15876,12733,7987,1162,186,1162,568100,79700,69,5096,6258,28,023
"Kemper County, Mississippi",377,3710,10107,0,2256,9667,8467,4793,894,38,894,269300,71200,8,2816,3710,28,069
"Montgomery County, Mississippi",544,4619,10198,0,2794,10071,8098,5606,1319,118,1319,599400,80000,10,3300,4619,28,097
"Oktibbeha County, Mississippi",789,17687,49481,77,12993,49148,41666,21876,8691,1546,8691,7224200,161100,309,8996,17687,28,105
"Pearl River County, Mississippi",763,20752,55149,0,13543,54262,44172,25194,4667,406,4667,3103900,128600,422,16085,20752,28,109
"Leake County, Mississippi",627,8168,22870,20,5404,22192,17643,9503,2262,190,2262,1069100,78500,44,5906,8168,28,079
"Noxubee County, Mississippi",548,4020,10828,0,2506,10627,8447,5209,1096,122,1096,490400,60800,101,2924,4020,28,103
"Neshoba County, Mississippi",659,10699,29376,35,7330,28899,22181,12494,2924,156,2924,1443800,81400,152,7775,10699,28,099
"Rankin County, Mississippi",975,55595,151240,6,43247,145894,119621,59946,13212,1136,13212,12144500,160000,991,42383,55595,28,121
"Tate County, Mississippi",718,10264,28493,4,7417,28028,22689,11375,2555,259,2555,1713400,117800,199,7709,10264,28,137
"Lawrence County, Mississippi",746,4793,12630,30,3050,12619,9856,6118,1091,74,1091,704900,93200,67,3702,4793,28,077
"Panola County, Mississippi",652,12447,34243,8,7909,34032,26448,14993,3383,726,3383,1752900,77400,454,9064,12447,28,107
"Yalobusha County, Mississippi",610,5161,12421,9,3422,12233,9945,6484,1379,287,1379,632000,83100,31,3782,5161,28,161
"Chickasaw County, Mississippi",608,6426,17279,0,3977,16915,13509,7604,1853,191,1853,870400,66000,45,4573,6426,28,017
"Copiah County, Mississippi",724,9623,28721,9,6350,28568,22695,12224,2054,233,2054,1164500,97900,169,7569,9623,28,029
"George County, Mississippi",686,7362,23710,88,4766,23204,18311,9494,1213,191,1213,635200,109800,363,6149,7362,28,039
"Hinds County, Mississippi",845,88705,241774,518,66447,239245,188930,104261,36876,3941,36876,29557100,115200,1842,51829,88705,28,049
"Newton County, Mississippi",628,8042,21524,26,5314,21375,16691,9483,1777,130,1777,835000,83000,140,6265,8042,28,101
"Union County, Mississippi",697,9951,28356,0,6779,28087,22015,11905,2757,346,2757,1674800,95000,181,7194,9951,28,145
"Sharkey County, Mississippi",486,1755,4511,21,1079,4409,3542,2118,591,64,591,158700,61800,22,1164,1755,28,125
"Tippah County, Mississippi",553,7983,21990,2,5286,21887,17062,9816,2160,290,2160,1059600,83100,705,5823,7983,28,139
"Forrest County, Mississippi",761,28033,75517,155,20416,74905,59644,32955,12706,1592,12706,9440800,120700,414,15327,28033,28,035
"Hancock County, Mississippi",807,19519,46653,39,12421,46433,37946,24818,4964,1127,4964,3811800,144400,624,14555,19519,28,045
"Lafayette County, Mississippi",914,19317,53459,157,14499,52987,44698,25266,7495,2459,7495,7115500,188600,255,11822,19317,28,071
"Issaquena County, Mississippi",406,484,1328,0,272,1053,1137,579,262,0,262,67600,57500,0,222,484,28,055
"Lowndes County, Mississippi",770,22742,59437,0,16052,57481,46870,27272,8764,1232,8764,6541500,131800,885,13978,22742,28,087
"Leflore County, Mississippi",546,10224,29804,68,5502,29280,22450,13152,5106,742,5106,2484400,79700,273,5118,10224,28,083
"Wilkinson County, Mississippi",561,2898,8990,5,1700,7904,7313,5140,551,31,551,178200,70000,36,2347,2898,28,157
"Harrison County, Mississippi",875,78863,202626,332,57172,195006,158617,92032,34687,4371,34687,30085500,144500,1527,44176,78863,28,047
"Jefferson Davis County, Mississippi",576,4839,11495,49,2891,11385,9469,5952,1147,104,1147,403200,84200,44,3692,4839,28,065
"Lincoln County, Mississippi",670,12827,34432,75,8490,33876,27139,15478,3155,408,3155,1659200,99600,170,9672,12827,28,085
"Scott County, Mississippi",699,10435,28415,93,7089,28161,21740,11643,2758,271,2758,1462300,68700,93,7677,10435,28,123
"Winston County, Mississippi",685,7396,18358,19,4805,17929,14576,8859,2048,39,2048,1130500,84100,181,5348,7396,28,159
"Yazoo County, Mississippi",628,8689,27974,0,5183,23580,21984,10140,3229,292,3229,1342000,81400,276,5460,8689,28,163
"Benton County, Mississippi",509,3033,8253,0,1874,8173,6715,4238,505,112,505,247900,68800,476,2528,3033,28,009
"Franklin County, Mississippi",636,3004,7757,0,1895,7674,6009,4226,642,0,642,209700,76500,23,2362,3004,28,037
"Jasper County, Mississippi",620,6690,16529,4,4339,16472,13106,8346,1021,20,1021,447600,73400,84,5669,6690,28,061
"Jones County, Mississippi",673,24774,68454,26,17292,67681,52910,28982,6667,624,6667,3729600,92100,387,18107,24774,28,067
